"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Awareness_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Awareness_Completed"
3,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,0,0,1
4,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,0,1
5,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,1,1
6,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,1,1
8,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,0,1,0,0,1
9,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
10,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,1,1
12,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
13,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
14,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,1,1,1
15,"UKRN09","","","Year 2","","","","1","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,0,1
16,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,0,1
17,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
18,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,1,1,1
19,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,0,0,0,0,1
20,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,0,1,1
21,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,0,1
23,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,0,1
24,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,0,1,1,0,1
27,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
28,"UKRN09","","","Year 2","","","","1","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,0,1
29,"UKRN09","","","Year 1","","","","1","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,0,1,1
30,"UKRN09","","","Year 1","","","","1","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,1,1
31,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
32,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
34,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,0,1
37,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,0,1
39,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
40,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
43,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,0,1,0,1,1
45,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
46,"UKRN09","","","Year 1","","","","1","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
47,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,0,1
